Marca temporal,Puntuación,"¿Cuál es tu edad?
",¿Cuál es tu género?,¿Cuál es tu ocupación?,¿Cuál es el máximo nivel educativo que alcanzaste?,Los dinosaurios se extinguieron porque cayó un meteorito. ,"No percibimos ningún movimiento, por lo tanto la Tierra no se mueve.","Cuando pateamos un penal siempre hay que prestarle mucha atención al pie de apoyo: lo dice Messi, que es un especialista en esto. ","A diferencia de los planetas, las estrellas tienen luz propia.","El pasto es verde, así que los animales herbívoros seguramente se alimentan de él.",Jorge está ahorrando porque quiere irse de vacaciones. ,"Todos los metales se dilatan con el calor. El hierro se dilata con el calor, por lo tanto el hierro es un metal. ","El problema de los discursos anticientíficos es una preocupación urgente a nivel internacional, puesto que estudios en distintos países mostraron que cada vez más gente descree de las vacunas. ","No debemos vacunarnos contra el COVID-19 porque Lucía Langer, médica inmunóloga del Hospital Italiano, afirmó que esas vacunas tienen “hidróxido de grafeno” y “el grafeno se utiliza para controlar a la gente”. ","En Brasil se habla portugués, así que seguramente fue colonia portuguesa. ","Mi abuela siempre me dijo: el mate sin edulcorante, y las tortas fritas con azúcar.","El perro, el gato, la vaca, los ratones son mamíferos y tienen cuatro patas; por lo tanto, todos los mamíferos tenemos cuatro patas. ","El fútbol es pasión de multitudes; por lo tanto, seguramente se juega con una pelota redonda. ","Como Messi nació en Roma y Roma queda en Italia, Messi nació en Italia. ","1) El continente americano fue descubierto porque Colón buscaba una nueva vía hacia las Indias. Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna.",2)	El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN: la estructura fue elucidada porque Franklin era una gran cristalógrafa. ,"3) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados, porque Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo.",4) Como defensores de la vida y la libertad tenemos la obligación de decir esto: cientos de personas en todo el mundo murieron porque se les inoculó el veneno experimental de Soros y Bill Gates. Este veneno debería ser prohibido.,"5) Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo, así que tenemos que tratar de comer variado y de hacer mucho deporte.","6) El hierro, un elemento abundante en la corteza terrestre, es un metal, al igual que el cobre y la plata, con lo cual seguramente se dilata al ser calentado."
15/07/2022 15:08:36,,41,Mujer,Control de sistemas,Universitario de grado completo,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",c) Franklin era una gran cristalógrafa,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Nuestra alimentación y la actividad física son muy importantes.,El hierro es un elemento abundante en la corteza terrestre
15/07/2022 15:09:15,,32,Mujer,Docente universitaria ,Posgrado completo,No es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,e) Tenemos la obligación de decir esto.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro es un metal al igual que el cobre y la plata
15/07/2022 15:09:36,,46,Mujer,"Docente, investigadora Bioquímica",Posgrado completo,No es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,e) Tenemos la obligación de decir esto.,Nuestra alimentación y la actividad física son muy importantes.,El hierro se dilata al ser calentado
15/07/2022 15:10:28,,50,Varón,Técnico aeronáutico ,Universitario de grado incompleto,No es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,,Es un argumento,b) El continente americano fue descubierto,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,d) Porque se les inoculó el veneno experimental de Soros y Bill Gates.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
15/07/2022 15:10:37,,38,Varón,Project Manager,Posgrado incompleto,No es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,c) Franklin era una gran cristalógrafa,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,d) Porque se les inoculó el veneno experimental de Soros y Bill Gates.,Nuestra alimentación y la actividad física son muy importantes para nuestro desarrollo.,El hierro se dilata al ser calentado
15/07/2022 15:10:50,,37,Mujer,Economista,Posgrado completo,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,Es un argumento,No es un argumento,Es un argumento,Es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",b) Porque Franklin era una gran cristalógrafa,b) Newton pudo hacer descubrimientos espectaculares en buena medida gracias a las contribuciones previas de Kepler y Galileo,d) Porque se les inoculó el veneno experimental de Soros y Bill Gates.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
15/07/2022 15:11:14,,35,Otro,Becaria Doctoral y docente universitaria,Posgrado incompleto,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,c) Una casualidad tuvo una importancia crucial para la historia moderna,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El hierro se dilata al ser calentado
15/07/2022 15:11:15,,59,Mujer,Consultoría,Posgrado completo,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",c) Franklin era una gran cristalógrafa,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Así que tenemos que tratar de comer variado.,El hierro es un metal al igual que el cobre y la plata
15/07/2022 15:11:44,,41,Mujer,Ingeniera  Agrónoma ,Universitario de grado completo,Es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,No es un argumento,No es un argumento,Es un argumento,Es un argumento,"d) Por lo tanto, una casualidad tuvo una importancia crucial para la historia moderna",d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,e) Tenemos la obligación de decir esto.,Tenemos que tratar de comer variado y de hacer mucho deporte.,El cobre y la plata son metales
15/07/2022 15:11:47,,25,Mujer,Estudiante e,Universitario de grado incompleto,Es un argumento,No es un argumento,No es un argumento,Es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,No es un argumento,b) El continente americano fue descubierto,d) El nombre de Rosalind Franklin debería ser recordado junto con los de Watson y Crick cuando nos referimos a la elucidación de la estructura del ADN,c) Debemos dejar de contar la historia de la ciencia en términos de grandes genios individuales que trabajaban aislados,a) Este veneno debería ser prohibido.,Tratar de comer variado y hacer mucho deporte.,El hierro se dilata al ser calentado
